gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,jerseyNum,matchupMinutes,partialPossessions,switchesOn,playerPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,blocks,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,GAME_ID
22400058,1610612744,Golden State,Warriors,GSW,warriors,203952,Andrew,Wiggins,A. Wiggins,andrew-wiggins,F,22,686.0,69.7,0,14,2,5,1,3,0,5,8,0.625,2,3,0.667,22400058
22400058,1610612744,Golden State,Warriors,GSW,warriors,1630228,Jonathan,Kuminga,J. Kuminga,jonathan-kuminga,F,0,650.0,63.0,0,10,5,5,1,1,1,4,7,0.571,2,4,0.5,22400058
22400058,1610612744,Golden State,Warriors,GSW,warriors,1626172,Kevon,Looney,K. Looney,kevon-looney,C,5,567.0,56.1,0,23,7,6,5,2,1,7,17,0.412,3,3,1.0,22400058
22400058,1610612744,Golden State,Warriors,GSW,warriors,1641764,Brandin,Podziemski,B. Podziemski,brandin-podziemski,G,2,575.0,55.2,0,16,3,5,0,2,0,4,10,0.4,0,3,0.0,22400058
22400058,1610612744,Golden State,Warriors,GSW,warriors,201939,Stephen,Curry,S. Curry,stephen-curry,G,30,752.0,72.7,0,14,6,5,0,0,0,6,10,0.6,2,4,0.5,22400058
22400058,1610612744,Golden State,Warriors,GSW,warriors,1627741,Buddy,Hield,B. Hield,buddy-hield,,7,471.0,48.3,0,12,3,1,0,1,0,5,9,0.556,1,2,0.5,22400058
22400058,1610612744,Golden State,Warriors,GSW,warriors,1631218,Trayce,Jackson-Davis,T. Jackson-Davis,trayce-jackson-davis,,32,483.0,44.0,0,12,2,4,2,1,0,6,14,0.429,0,2,0.0,22400058
22400058,1610612744,Golden State,Warriors,GSW,warriors,203937,Kyle,Anderson,K. Anderson,kyle-anderson,,1,403.0,40.1,0,13,6,2,1,1,1,5,7,0.714,1,1,1.0,22400058
22400058,1610612744,Golden State,Warriors,GSW,warriors,1630541,Moses,Moody,M. Moody,moses-moody,,4,439.0,45.1,0,7,2,3,1,1,0,3,9,0.333,0,2,0.0,22400058
22400058,1610612744,Golden State,Warriors,GSW,warriors,1627780,Gary,Payton II,G. Payton II,gary-payton-ii,,0,334.0,26.0,0,4,1,1,2,0,0,2,2,1.0,0,0,0.0,22400058
22400058,1610612743,Denver,Nuggets,DEN,nuggets,1629008,Michael,Porter Jr.,M. Porter Jr.,michael-porter-jr,F,1,707.0,64.6,0,9,6,4,0,1,0,3,6,0.5,0,1,0.0,22400058
22400058,1610612743,Denver,Nuggets,DEN,nuggets,203932,Aaron,Gordon,A. Gordon,aaron-gordon,F,32,797.0,75.0,0,6,9,2,0,0,0,3,10,0.3,0,4,0.0,22400058
22400058,1610612743,Denver,Nuggets,DEN,nuggets,203999,Nikola,Jokić,N. Jokić,nikola-jokić,C,15,958.0,90.7,0,13,8,10,7,5,1,6,20,0.3,0,4,0.0,22400058
22400058,1610612743,Denver,Nuggets,DEN,nuggets,1631128,Christian,Braun,C. Braun,christian-braun,G,0,869.0,82.0,0,30,6,8,4,1,0,11,17,0.647,4,8,0.5,22400058
22400058,1610612743,Denver,Nuggets,DEN,nuggets,1627750,Jamal,Murray,J. Murray,jamal-murray,G,27,827.0,78.0,0,24,3,3,2,1,3,10,18,0.556,3,8,0.375,22400058
22400058,1610612743,Denver,Nuggets,DEN,nuggets,201566,Russell,Westbrook,R. Westbrook,russell-westbrook,,4,587.0,47.4,0,9,1,5,1,0,0,4,6,0.667,0,1,0.0,22400058
22400058,1610612743,Denver,Nuggets,DEN,nuggets,1631212,Peyton,Watson,P. Watson,peyton-watson,,8,456.0,36.0,0,12,0,4,2,0,1,4,10,0.4,2,6,0.333,22400058
22400058,1610612743,Denver,Nuggets,DEN,nuggets,1631124,Julian,Strawther,J. Strawther,julian-strawther,,3,523.0,46.0,0,11,1,1,1,1,0,5,11,0.455,1,5,0.2,22400058
22400058,1610612743,Denver,Nuggets,DEN,nuggets,1630192,Zeke,Nnaji,Z. Nnaji,zeke-nnaji,,22,130.0,10.4,0,9,0,1,0,0,0,3,4,0.75,2,2,1.0,22400058
